Subject Abbreviation,Course,Mean Grade
SHS,221,3.035
SHS,222,3.89
SHS,280,3.0
SHS,300,3.27
SHS,320,3.67
SHS,321,2.97
SHS,333,3.86
SHS,431,3.89
SHS,450,3.49
SHS,451,3.815
SHS,470,3.75
SHS,511,3.8
SHS,534,3.84
SHS,570,3.81
SHS,577,3.94
SLAV,117,3.77
SOC,100,3.582857142857143
SOC,101,3.36
SOC,160,3.41
SOC,163,3.72
SOC,170,3.21
SOC,199,3.8
SOC,200,3.08
SOC,225,3.23
SOC,226,3.21
SOC,275,3.13
SOC,280,2.96
SOC,310,3.84
SOC,350,3.46
SOC,364,3.31
SOC,378,3.5
SOC,380,2.92
SOC,396,2.15
SOC,479,3.84
SOCW,101,3.64
SOCW,200,3.275
SOCW,225,3.48
SOCW,240,3.45
SOCW,297,3.77
SOCW,300,3.47
SOCW,315,3.81
SOCW,360,3.83
SOCW,401,3.77
SOCW,403,3.94
SOCW,410,3.7466666666666666
SOCW,416,3.57
SOCW,420,3.83
SOCW,427,3.768333333333333
SOCW,451,3.5566666666666666
SOCW,455,3.92
SOCW,503,3.92
SOCW,509,3.95
SOCW,542,3.74
SOCW,552,3.8800000000000003
SOCW,561,3.53
SOCW,589,3.785
SPAN,232,3.84
SPAN,248,3.68
SPAN,308,3.385
SPED,117,3.7533333333333334
SPED,405,3.815
SPED,440,3.82
SPED,446,3.68
SPED,450,3.62
SPED,461,3.91
SPED,470,3.96
SPED,471,3.88
SPED,514,3.79
STAT,100,3.2199999999999998
STAT,107,3.55
STAT,200,3.64
STAT,207,3.31
STAT,212,3.41
STAT,385,3.795
STAT,400,3.3349999999999995
STAT,409,3.28
STAT,410,3.1233333333333335
STAT,420,3.41
STAT,425,3.516666666666667
STAT,426,3.6
STAT,428,3.51
STAT,429,2.92
STAT,430,3.2975
STAT,431,3.52
STAT,432,3.41
STAT,440,3.67
STAT,443,3.57
STAT,447,3.32
STAT,510,3.39
STAT,527,3.9
STAT,542,3.85
STAT,571,3.58
TAM,195,3.48
TAM,201,3.78
TAM,210,3.12
TAM,211,2.9299999999999997
TAM,212,2.96
TAM,251,2.65
TAM,335,3.3049999999999997
TAM,461,3.68
TAM,470,2.86
TAM,541,3.57
TAM,551,3.49
TE,200,3.65
TE,250,3.74
TE,333,3.6
TE,360,3.835
TE,450,3.64
TE,565,3.9
THEA,100,3.875
THEA,101,3.287619047619048
THEA,110,3.71
THEA,121,3.81
THEA,123,3.68
THEA,263,3.57
THEA,270,3.91
THEA,360,2.72
THEA,595,3.36
TSM,100,2.7
TSM,103,2.3
TSM,130,3.56
TSM,232,3.19
TSM,233,3.67
TSM,311,3.48
TSM,352,3.33
TSM,372,3.27
UP,101,3.07
UP,160,3.13
UP,203,3.31
UP,260,2.6
UP,312,3.21
UP,418,3.71
UP,486,3.23
UP,494,3.7
UP,503,3.95
UP,504,3.85
VCM,565,3.75
VCM,672,3.91
VM,602,2.77
VM,605,3.08
VM,607,2.89
VM,651,2.72
VM,652,2.58
VM,653,2.39
VM,654,2.69
